"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","assignmentID","mturkID","hitID","task_version","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","feedback_num","bonus","responses"
"","679.0849999524653","image-keyboard-response","124","362902","0.0-7.0-0.7","j7gcx","","","","v1","img/purple.png","32","trial","32","true","0.8,0.2","go_c","","",""
"","null","html-keyboard-response","125","364406","0.0-7.0-1.7","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_c","0","",""
"","null","html-keyboard-response","126","365409","0.0-7.0-2.7","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","null","image-keyboard-response","127","366911","0.0-7.0-0.8","j7gcx","","","","v1","img/orange.png","null","trial","null","true","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","128","368413","0.0-7.0-1.8","j7gcx","","","","v1","<img src=""img/orange-n.png"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","129","369414","0.0-7.0-2.8","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","null","image-keyboard-response","130","370916","0.0-7.0-0.9","j7gcx","","","","v1","img/green.png","null","trial","null","true","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","131","372418","0.0-7.0-1.9","j7gcx","","","","v1","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","nogo_d","0","",""
"","null","html-keyboard-response","132","373419","0.0-7.0-2.9","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","1033.15500007011","image-keyboard-response","133","374454","0.0-7.0-0.10","j7gcx","","","","v1","img/purple.png","32","trial","32","true","0.8,0.2","go_c","","",""
"","null","html-keyboard-response","134","375956","0.0-7.0-1.10","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_c","0","",""
"","null","html-keyboard-response","135","376959","0.0-7.0-2.10","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","348.1799999717623","image-keyboard-response","136","377309","0.0-7.0-0.11","j7gcx","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","137","378811","0.0-7.0-1.11","j7gcx","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","138","379812","0.0-7.0-2.11","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","null","image-keyboard-response","139","381313","0.0-7.0-0.12","j7gcx","","","","v1","img/green.png","null","trial","null","true","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","140","382815","0.0-7.0-1.12","j7gcx","","","","v1","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","nogo_d","0","",""
"","null","html-keyboard-response","141","383818","0.0-7.0-2.12","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","1403.4049999900162","image-keyboard-response","142","385222","0.0-7.0-0.13","j7gcx","","","","v1","img/purple.png","32","trial","32","true","0.8,0.2","go_c","","",""
"","null","html-keyboard-response","143","386726","0.0-7.0-1.13","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_c","0","",""
"","null","html-keyboard-response","144","387727","0.0-7.0-2.13","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","741.4700000081211","image-keyboard-response","145","388469","0.0-7.0-0.14","j7gcx","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","146","389974","0.0-7.0-1.14","j7gcx","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","147","390974","0.0-7.0-2.14","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","null","image-keyboard-response","148","392476","0.0-7.0-0.15","j7gcx","","","","v1","img/orange.png","null","trial","null","true","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","149","393978","0.0-7.0-1.15","j7gcx","","","","v1","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","150","394979","0.0-7.0-2.15","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","null","image-keyboard-response","151","396481","0.0-7.0-0.16","j7gcx","","","","v1","img/orange.png","null","trial","null","true","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","152","397985","0.0-7.0-1.16","j7gcx","","","","v1","<img src=""img/orange-n.png"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","153","398986","0.0-7.0-2.16","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","882.8250002115965","image-keyboard-response","154","399870","0.0-7.0-0.17","j7gcx","","","","v1","img/green.png","32","trial","null","false","0.2,0.8","nogo_d","","",""
"","null","html-keyboard-response","155","401374","0.0-7.0-1.17","j7gcx","","","","v1","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_d","0","",""
"","null","html-keyboard-response","156","402378","0.0-7.0-2.17","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","922.5549998227507","image-keyboard-response","157","403302","0.0-7.0-0.18","j7gcx","","","","v1","img/pink.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","158","404804","0.0-7.0-1.18","j7gcx","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","159","405805","0.0-7.0-2.18","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","658.3300000056624","image-keyboard-response","160","406464","0.0-7.0-0.19","j7gcx","","","","v1","img/purple.png","32","trial","32","true","0.8,0.2","go_c","","",""
"","null","html-keyboard-response","161","407966","0.0-7.0-1.19","j7gcx","","","","v1","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_c","0","",""
"","null","html-keyboard-response","162","408969","0.0-7.0-2.19","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"[{""page_index"":0,""viewing_time"":965.1000001467764}]","965.3650000691414","instructions","163","409935","0.0-8.0","j7gcx","","","","v1","","","","","","","","","",""
"","624.1099999751896","image-keyboard-response","164","410560","0.0-9.0-0.0","j7gcx","","","","v1","img/blue.png","32","trial","32","true","0.8,0.2","go_a","","",""
"","null","html-keyboard-response","165","412062","0.0-9.0-1.0","j7gcx","","","","v1","<img src=""img/blue-r.png"" border=""10"">","null","trial","32","","0.8,0.2","go_a","0","",""
"","null","html-keyboard-response","166","413063","0.0-9.0-2.0","j7gcx","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","263.10000009834766","image-keyboard-response","167","413327","0.0-9.0-0.1","j7gcx","","","","v1","img/orange.png","32","trial","null","false","0.4,0.6","nogo_d","","",""
"","null","html-keyboard-response","168","414829","0.0-9.0-1.1","j7gcx","","","","v1","<img src=""img/orange-r.png"" border=""10"">","null","trial","null","","0.4,0.6","nogo_d","0","",""
