"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","assignmentID","mturkID","hitID","task_version","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","bonus","responses"
"","393.1649997830391","image-keyboard-response","63","65878","0.0-11.0-0.2","zdnl9","","","","v1","img/pink.png","32","trial","32","true","1,0","go_c","","",""
"","null","html-keyboard-response","64","67381","0.0-11.0-1.2","zdnl9","","","","v1","<img src=""img/pink-r.png"" border=""10"">","null","trial","32","","1,0","go_c","1","",""
"","null","html-keyboard-response","65","68382","0.0-11.0-2.2","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"","147.89999998174608","image-keyboard-response","66","68531","0.0-11.0-0.3","zdnl9","","","","v1","img/yellow.png","32","trial","null","false","0.2,0.8","nogo_b","","",""
"","null","html-keyboard-response","67","70034","0.0-11.0-1.3","zdnl9","","","","v1","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","nogo_b","0","",""
"","null","html-keyboard-response","68","71036","0.0-11.0-2.3","zdnl9","","","","v1","<div style=""font-size:60px;"">+</div>","null","","","","","","","",""
"[{""page_index"":0,""viewing_time"":742.5100000109524}]","742.714999942109","instructions","69","71780","0.0-12.0","zdnl9","","","","v1","","","","","","","","","83",""
"[{""page_index"":0,""viewing_time"":680.129999993369}]","680.3749999962747","instructions","70","72461","0.0-13.0","zdnl9","","","","v1","","","","","","","","","",""
"","1546.70500010252","survey-text","71","74012","0.0-14.0","zdnl9","","","","v1","","","","","","","","","","{""Q0"":""rfg""}"
"","1127.6700000744313","survey-text","72","75142","0.0-15.0","zdnl9","","","","v1","","","","","","","","","","{""Q0"":""er""}"
